"","mouse.names","human.names","mouse.ensemble"
"430","Arpc4","ARPC4","ENSMUSG00000079426"
"431","Btg1","BTG1","ENSMUSG00000036478"
"432","Spry4","SPRY4","ENSMUSG00000024427"
"433","Crybb1","CRYBB1","ENSMUSG00000029343"
"434","Odc1","ODC1","ENSMUSG00000011179"
"435","Angpt1","ANGPT1","ENSMUSG00000022309"
"436","Angpt2","ANGPT2","ENSMUSG00000031465"
"437","Angptl3","ANGPTL3","ENSMUSG00000028553"
"438","Ncam2","NCAM2","ENSMUSG00000022762"
"439","Ncam1","NCAM1","ENSMUSG00000039542"
"440","Bivm","BIVM","ENSMUSG00000041684"
"441","Dnaaf2","DNAAF2","ENSMUSG00000020973"
"442","Pklr","PKLR","ENSMUSG00000041237"
"443","Tfe3","TFE3","ENSMUSG00000000134"
"444","Adh5","ADH5","ENSMUSG00000028138"
"445","Ndufb5","NDUFB5","ENSMUSG00000027673"
"446","Gabpa","GABPA","ENSMUSG00000008976"
"447","Aldh1a2","ALDH1A2","ENSMUSG00000013584"
"448","Smad6","SMAD6","ENSMUSG00000036867"
"449","Cct6a","CCT6A","ENSMUSG00000029447"
"450","Cct6b","CCT6B","ENSMUSG00000020698"
"451","Ugdh","UGDH","ENSMUSG00000029201"
"452","Vcan","VCAN","ENSMUSG00000021614"
"453","Dcc","DCC","ENSMUSG00000060534"
"454","Mab21l2","MAB21L2","ENSMUSG00000057777"
"455","Ngb","NGB","ENSMUSG00000021032"
"456","Prkci","PRKCI","ENSMUSG00000037643"
"457","Efna3","EFNA3","ENSMUSG00000028039"
"458","Sfrp5","SFRP5","ENSMUSG00000018822"
"459","Ywhag","YWHAG","ENSMUSG00000051391"
"460","Gpc4","GPC4","ENSMUSG00000031119"
"461","Hsf2","HSF2","ENSMUSG00000019878"
"462","Gnat2","GNAT2","ENSMUSG00000009108"
"463","Klf2","KLF2","ENSMUSG00000055148"
"464","Klf3","KLF3","ENSMUSG00000029178"
"465","Gnat1","GNAT1","ENSMUSG00000034837"
"466","Guca1b","GUCA1B","ENSMUSG00000023979"
"467","Gucy2f","GUCY2F","ENSMUSG00000042282"
"468","Gucy2e","GUCY2D","ENSMUSG00000020890"
"469","mt-Nd4","ND4","ENSMUSG00000064363"
"470","mt-Nd4l","ND4L","ENSMUSG00000065947"
"471","mt-Nd5","ND5","ENSMUSG00000064367"
"472","mt-Nd6","ND6","ENSMUSG00000064368"
"473","mt-Co1","COX1","ENSMUSG00000064351"
"474","mt-Co3","COX3","ENSMUSG00000064358"
"475","mt-Cytb","CYTB","ENSMUSG00000064370"
"476","mt-Atp6","ATP6","ENSMUSG00000064357"
"478","mt-Nd1","ND1","ENSMUSG00000064341"
"479","mt-Nd2","ND2","ENSMUSG00000064345"
"480","mt-Nd3","ND3","ENSMUSG00000064360"
"481","Casp3","CASP3","ENSMUSG00000031628"
"482","Xbp1","XBP1","ENSMUSG00000020484"
"483","Fads2","FADS2","ENSMUSG00000024665"
"484","Fads3","FADS3","ENSMUSG00000024664"
"485","Rab2a","RAB2A","ENSMUSG00000047187"
"486","Vim","VIM","ENSMUSG00000026728"
"487","Atic","ATIC","ENSMUSG00000026192"
"488","Prps1","PRPS1","ENSMUSG00000031432"
"489","Prps1l1","PRPS1L1","ENSMUSG00000092305"
"490","Tfap2a","TFAP2A","ENSMUSG00000021359"
"491","Cyp1a1","CYP1A1","ENSMUSG00000032315"
"492","Cyp1a2","CYP1A2","ENSMUSG00000032310"
"493","Jag1","JAG1","ENSMUSG00000027276"
"494","Jag2","JAG2","ENSMUSG00000002799"
"495","Per1","PER1","ENSMUSG00000020893"
"496","Per2","PER2","ENSMUSG00000055866"
"497","Nanos3","NANOS3","ENSMUSG00000056155"
"498","Ckb","CKB","ENSMUSG00000001270"
"499","Hnf1b","HNF1B","ENSMUSG00000020679"
"500","Psap","PSAP","ENSMUSG00000004207"
"501","Psapl1","PSAPL1","ENSMUSG00000043430"
"502","Ryr1","RYR1","ENSMUSG00000030592"
"503","Lactb","LACTB","ENSMUSG00000032370"
"504","Cebpa","CEBPA","ENSMUSG00000034957"
"505","Cebpb","CEBPB","ENSMUSG00000056501"
"506","Cebpd","CEBPD","ENSMUSG00000071637"
"507","Cebpg","CEBPG","ENSMUSG00000056216"
"508","Ptk2","PTK2","ENSMUSG00000022607"
"509","Dmbx1","DMBX1","ENSMUSG00000028707"
"510","Gbx1","GBX1","ENSMUSG00000067724"
"511","Meis1","MEIS1","ENSMUSG00000020160"
"512","Pknox1","PKNOX1","ENSMUSG00000006705"
"513","S1pr2","S1PR2","ENSMUSG00000043895"
"514","Gria1","GRIA1","ENSMUSG00000020524"
"515","Gria2","GRIA2","ENSMUSG00000033981"
"516","Gria3","GRIA3","ENSMUSG00000001986"
"517","Gria4","GRIA4","ENSMUSG00000025892"
"518","Cacna1c","CACNA1C","ENSMUSG00000051331"
"519","Ube4b","UBE4B","ENSMUSG00000028960"
"520","Tlx2","TLX2","ENSMUSG00000068327"
"521","Mkrn3","MKRN3","ENSMUSG00000070527"
"522","Mkrn1","MKRN1","ENSMUSG00000029922"
"523","Mkrn2","MKRN2","ENSMUSG00000000439"
"524","Ptprf","PTPRF","ENSMUSG00000033295"
"525","Ptprs","PTPRS","ENSMUSG00000013236"
"526","Sall1","SALL1","ENSMUSG00000031665"
"527","Sall3","SALL3","ENSMUSG00000024565"
"528","Phc2","PHC2","ENSMUSG00000028796"
"529","Fabp3","FABP3","ENSMUSG00000028773"
"530","Fabp1","FABP1","ENSMUSG00000054422"
"531","Crabp1","CRABP1","ENSMUSG00000032291"
"532","Rbp2","RBP2","ENSMUSG00000032454"
"533","Crabp2","CRABP2","ENSMUSG00000004885"
"534","Il17rd","IL17RD","ENSMUSG00000040717"
"535","Ccng1","CCNG1","ENSMUSG00000020326"
"536","Glra3","GLRA3","ENSMUSG00000038257"
"537","Dach2","DACH2","ENSMUSG00000025592"
"538","Dach1","DACH1","ENSMUSG00000055639"
"539","Elob","ELOB","ENSMUSG00000055839"
"540","Calm3","CALM3","ENSMUSG00000019370"
"541","Calm2","CALM2","ENSMUSG00000036438"
"542","Calm1","CALM1","ENSMUSG00000001175"
"543","Dcun1d2","DCUN1D2","ENSMUSG00000038506"
"544","Tpi1","TPI1","ENSMUSG00000023456"
"545","Ccna2","CCNA2","ENSMUSG00000027715"
"546","U2af1","U2AF1","ENSMUSG00000061613"
"547","Atp6v1e1","ATP6V1E1","ENSMUSG00000019210"
"548","Atp6v1e2","ATP6V1E2","ENSMUSG00000053375"
"549","Rps5","RPS5","ENSMUSG00000012848"
"550","Srrt","SRRT","ENSMUSG00000037364"
